,Name,Locality,Postalcode,Address,Region,Country,Neighborhood,Phone,Website,Category Labels
0,,,,,,,,,,
0,Abc Breon,Saint Maur des Fossés,94100,30 rue de la Varennes,Val-de-Marne,fr,,06 60 62 50 23,http://www.achat-antiquites-debarras-paris.fr,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Daum Maison Lefevre,Saint Maur des Fossés,94100,129 rue Garibaldi,Val-de-Marne,fr,,01 48 83 27 60,http://www.antiquites-lefevre.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,LMB,Saint Maur des Fossés,94100,7 boulevard de Creteil,Val-de-Marne,fr,,01 48 85 22 88,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Artempion,Fontenay Sous Bois,94120,rue Médéric,Val-de-Marne,fr,,06 99 17 59 47,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Au Temps Jadis,Fontenay sous Bois,94120,11 place du Général Leclerc,Val-de-Marne,fr,,01 48 77 51 23,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,La Caverne de Nogent,Nogent sur Marne,94130,7 rue du Lieutenant Ohresser,Val-de-Marne,fr,,01 48 76 63 71,http://www.kelvitrine.com/nogent-sur-marne/lacavernedenogent,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Christian Croset,Nogent sur Marne,94130,4 rue Edmond Vitry,Val-de-Marne,fr,,01 48 72 53 19,http://www.galeriechristiancroset.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Ridard Claudine,Saint Mandé,94160,3 rue Poirier,Val-de-Marne,fr,,01 43 74 82 65,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Lortal Jean,Saint Mandé,94160,3 avenue de la Pelouse,Val-de-Marne,fr,,01 43 74 29 08,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Hugo et Fils,Ivry sur Seine,94200,34 bis rue Ampère,Val-de-Marne,fr,,01 46 70 86 93,http://www.galerierx.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Lot 10,Ivry sur Seine,94200,44 rue Jules Vanzuppe,Val-de-Marne,fr,,01 43 90 31 92,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Rodriguez Iléana,Ivry sur Seine,94200,1 rue Paul Mazy,Val-de-Marne,fr,,06 72 95 22 47,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Zoo Studio,Ivry sur Seine,94200,50 D124,Val-de-Marne,fr,,,http://www.zoostudio.fr,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Maison le Roy,La Varenne Saint Hilaire,94210,14 rue Chappelier,Val-de-Marne,fr,,01 43 97 93 43,http://www.brocanteleroy.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Spolnik,La Varenne Saint Hilaire,94210,2 bis avenue de Chanzy,Val-de-Marne,fr,,01 48 85 66 24,http://www.galerie-spolnik.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Kreloufi Gilbert,Saint Maur des Fossés,94210,25 avenue du Bac,Val-de-Marne,fr,,01 48 83 52 48,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Pardo Cyril,La Varenne Saint Hilaire,94210,4 avenue Chanzy,Val-de-Marne,fr,,06 07 57 47 76,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Couleurs A Croquer,Charenton le Pont,94220,place de l'Eglise,Val-de-Marne,fr,,06 60 83 27 57,http://www.couleursacroquer.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Cagnard Thierry,Charenton le Pont,94220,199 rue de Paris,Val-de-Marne,fr,,01 48 93 55 53,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Espace Art et Liberté,Charenton le Pont,94220,3 place des Marseillais,Val-de-Marne,fr,,01 46 76 68 05,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Brocante Ponse,Charenton le Pont,94220,116 Bis rue de Paris,Val-de-Marne,fr,,01 43 68 12 43,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Actee S.A.R.L.,Charenton le Pont,94220,114 rue de Paris,Val-de-Marne,fr,,01 43 96 30 52,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Vanhoecke Pascal,Cachan,94230,14 Bis rue du Docteur Gosselin,Val-de-Marne,fr,,01 49 86 59 24,http://www.galeriepascalvanhoecke.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Maison d'Art Contemporain Chaillioux,Fresnes,94260,5 rue Julien Chaillioux,Val-de-Marne,fr,,01 46 68 58 31,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Knezevic Robert,Villeneuve Le Roi,94290,73 avenue Paul Painlevé,Val-de-Marne,fr,,01 49 61 39 78,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Frémeaux et Associés,Vincennes,94300,20 rue Robert Giraudineau,Val-de-Marne,fr,,01 43 74 90 24,http://www.fremeaux.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Memoires de Grenier,Vincennes,94300,86 rue Raymond du Temple,Val-de-Marne,fr,,01 43 28 55 17,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Caron Daniel,Vincennes,94300,177 rue de Fontenay,Val-de-Marne,fr,,01 43 74 71 86,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Boyard Thibaut,Vincennes,94300,10 rue Monmory,Val-de-Marne,fr,,01 43 28 73 03,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Le Grillon,Vincennes,94300,5 rue Lejemptel,Val-de-Marne,fr,,01 43 28 26 30,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Sillages,Vincennes,94300,23 rue Robert Giraudineau,Val-de-Marne,fr,,01 43 74 48 86,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Zeitoun Jean,Orly,94310,2 avenue Moliere,Val-de-Marne,fr,,06 12 51 33 67,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Schomack Store,Villiers sur Marne,94350,37 avenue des Châtaigniers,Val-de-Marne,fr,,01 49 41 03 08,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Dutourleau Audoin Françoise,Sucy en Brie,94370,3 rue du Temple,Val-de-Marne,fr,,01 45 76 70 35,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Badin de Montjoye Dominique Jean,Sucy En Brie,94370,44 rue de Boissy,Val-de-Marne,fr,,06 80 13 57 92,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie municipale Jean-Collet,Vitry sur Seine,94400,59 avenue Guy Môquet,Val-de-Marne,fr,,01 43 91 15 33,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Acii,Vitry sur Seine,94400,4 avenue Andre Maginot,Val-de-Marne,fr,,01 45 73 21 46,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Bonnat Marie,Chennevières sur Marne,94430,6 Villa Lorraine,Val-de-Marne,fr,,06 14 77 93 81,http://bonnatmarie.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Antiquités 56,Marolles En Brie,94440,28 rue des Fourneaux,Val-de-Marne,fr,,01 43 86 57 44,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Lefebvre Didier,Villecresnes,94440,10 chemin de Vaux,Val-de-Marne,fr,,06 81 91 76 41,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Le Bouette Catherine,Santeny,94440,11 avenue du Général Leclerc,Val-de-Marne,fr,,01 43 86 56 38,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Corinne Caminade,Champigny,94500,190 rue Diderot,Val-de-Marne,fr,,01 48 80 10 32,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Art Partner Galerie,Champigny,94500,628 rue Henri Barbusse,Val-de-Marne,fr,,01 47 06 47 78,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Elise Michel Art Consulting,Champigny,94500,21 rue Matteoti,Val-de-Marne,fr,,06 80 61 85 93,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Ateliers du Parc S.A.,Champigny,94500,634 rue de Bernau,Val-de-Marne,fr,,01 48 81 08 31,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
