,Name,Locality,Postalcode,Address,Region,Country,Neighborhood,Phone,Website,Category Labels
0,,,,,,,,,,
0,Antiquités Périgueux,Périgueux,24000,24 cours Saint Georges,Dordogne,fr,,06 79 25 06 56,http://perigord-fr.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Equy Patricia,Périgueux,24000,6 boulevard Albert Claveille,Dordogne,fr,,06 76 25 33 06,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie du Passage,Périgueux,24000,"7 rue André Saigne, passage Staine Cécile",Dordogne,fr,,05 53 46 75 37,http://www.galerie-d-art-du-passage-perigueux.fr/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Liebart Sébastien,Périgueux,24000,4 rue de Campniac,Dordogne,fr,,06 87 54 36 72,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Mes Deux Mondes et l'art Marieta,Périgueux,24000,1 Bis rue Louis Blanc,Dordogne,fr,,09 67 10 53 61,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,La Maison Piat,Périgueux,24000,la Maison des Consuls 16 boulevard Georges Saumande,Dordogne,fr,,05 53 08 77 71,http://lamaisonpiat.canalblog.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,A l'Art Notre,Périgueux,24000,9 rue de la Sagesse,Dordogne,fr,,05 53 35 08 94,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Charmantique,Périgueux,24000,9 rue Denfert Rochereau,Dordogne,fr,,06 87 19 42 73,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,agathe bonnet artiste peintre à Périgueux,Périgueux,24000,37 rue de la Station,Dordogne,fr,,05 53 07 05 01,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Passion d'Autrefois,Saint Laurent des Vignes,24100,route Bordeaux le Rabier,Dordogne,fr,,05 53 24 07 33,http://www.passion-dautrefois.fr/page/fabrication-de-meuble,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Benedicte Giniaux,Bergerac,24100,3 place Docteur Cayla,Dordogne,fr,,05 53 23 49 51,http://www.galeriebenedicteginiaux.fr,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Pascaud Jean-Claude,Bergerac,24100,29 rue Guilbeaud,Dordogne,fr,,05 53 24 98 71,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Gotarda Raymond,Bergerac,24100,8 rue du Professeur Pozzi,Dordogne,fr,,09 51 40 24 41,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Doumenjou Larroque Isabelle,Bergerac,24100,35 rue Georges Clemenceau,Dordogne,fr,,05 53 73 09 20,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
